Cliente,Nombre                             ,DISTRITO                  ,Latitud             ,Longitud            ,C.Sumin
6245185,CENCOSUD RETAIL PERU SA,LA VICTORIA,-12.08407323,-77.01383923,0752
6245187,CENCOSUD RETAIL PERU SA,LIMA,-12.04878035,-77.03188015,0752
6245190,CENCOSUD RETAIL PERU SA,CALLAO,-12.049871,-77.078986,0752
6245191,CENCOSUD RETAIL PERU SA,COMAS,-11.933407,-77.046836,0752
6245192,CENCOSUD RETAIL PERU SA,LA MOLINA,-12.070089,-76.95778,0752
6245193,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245194,CENCOSUD RETAIL PERU SA,JESUS MARIA,-12.07376764,-77.05096912,0752
6245196,CENCOSUD RETAIL PERU SA,SURQUILLO,-12.10359458,-77.02052745,0752
6245197,CENCOSUD RETAIL PERU SA,JESUS MARIA,-12.08913589,-77.05768757,0752
6245198,CENCOSUD RETAIL PERU SA,MIRAFLORES,-12.12259404,-77.02984663,0752
6245199,CENCOSUD RETAIL PERU SA,BARRANCO,-12.14625111,-77.02172356,0752
6245201,CENCOSUD RETAIL PERU SA,COMAS,-11.93368139,-77.05651126,0752
6245208,CENCOSUD RETAIL PERU SA,INDEPENDENCIA,-11.987407,-77.064203,0752
6245209,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245214,SUPERMERCADOS PERUANOS S.A.,LIMA,-12.05347877,-77.04191126,0752
6245215,CENCOSUD RETAIL PERU SA,MIRAFLORES,-12.122811,-77.03205227,0752
6245216,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245217,SUPERMERCADOS PERUANOS S.A.,PUENTE PIEDRA,-11.864227,-77.0733,0752
6245218,SUPERMERCADOS PERUANOS S.A.,LOS OLIVOS,-12.010205,-77.080308,0752
6245219,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245220,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245229,SUPERMERCADOS PERUANOS S.A.,ATE,-12.01351666,-76.88514418,0752
6245230,SUPERMERCADOS PERUANOS S.A.,SAN JUAN DE LURIGANCHO,-11.933719,-76.689092,0752
6245232,SUPERMERCADOS PERUANOS S.A.,LURIN,-12.255903,-76.874532,0752
6245236,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245239,CENCOSUD RETAIL PERU SA,SAN JUAN DE MIRAFLORES,-12.1677964,-76.97848632,0752
6245248,SUPERMERCADOS PERUANOS S.A.,RIMAC,-12.029268,-77.031081,0752
6245250,SUPERMERCADOS PERUANOS S.A.,LURIN,-12.253458,-76.927547,0752
6245255,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245256,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245257,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245258,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245259,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245260,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245262,SUPERMERCADOS PERUANOS S.A.,CHORRILLOS,-12.196812,-77.011472,0752
6245265,SUPERMERCADOS PERUANOS S.A.,CALLAO,-12.052272,-77.09259,0752
6245268,SUPERMERCADOS PERUANOS S.A.,LIMA,-12.056987,-77.037764,0752
6245274,SUPERMERCADOS PERUANOS S.A.,LURIGANCHO,-11.940355,-76.699793,0752
6245278,SUPERMERCADOS PERUANOS S.A.,MIRAFLORES,-12.124542,-77.028054,0752
6245279,SUPERMERCADOS PERUANOS S.A.,SANTIAGO DE SURCO,-12.10903273,-76.97226516,0752
6245280,SUPERMERCADOS PERUANOS S.A.,SANTIAGO DE SURCO,-12.12721,-76.975368,0752
6245282,SUPERMERCADOS PERUANOS S.A.,SAN ISIDRO,-12.107399,-77.039245,0752
6245283,SUPERMERCADOS PERUANOS S.A.,SAN ISIDRO,-12.10251126,-77.05214626,0752
6245285,SUPERMERCADOS PERUANOS S.A.,SAN ISIDRO,-12.092159,-77.045632,0752
6245286,SUPERMERCADOS PERUANOS S.A.,SAN ISIDRO,-12.103728,-77.037939,0752
6245287,SUPERMERCADOS PERUANOS S.A.,SANTIAGO DE SURCO,-12.127533,-77.000916,0752
6245288,SUPERMERCADOS PERUANOS S.A.,LA MOLINA,-12.070089,-76.95778,0752
6245290,SUPERMERCADOS PERUANOS S.A.,SANTIAGO DE SURCO,-12.086177,-76.977497,0752
6245291,SUPERMERCADOS PERUANOS S.A.,BRE A,-12.065695,-77.048073,0752
6245292,CENCOSUD RETAIL PERU SA,SAN JUAN DE LURIGANCHO,-11.97483638,-77.00224386,0752
6245299,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245301,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245303,SUPERMERCADOS PERUANOS S.A.,JESUS MARIA,-12.075087,-77.053491,0752
6245304,SUPERMERCADOS PERUANOS S.A.,SAN BORJA,-12.104476,-76.990191,0752
6245305,SUPERMERCADOS PERUANOS S.A.,BELLAVISTA,-12.059539,-77.131703,0752
6245306,SUPERMERCADOS PERUANOS S.A.,BARRANCO,-12.133898,-77.018133,0752
6245307,SUPERMERCADOS PERUANOS S.A.,MIRAFLORES,-12.112264,-77.029972,0752
6245308,SUPERMERCADOS PERUANOS S.A.,ATE,-12.054003,-76.962406,0752
6245309,SUPERMERCADOS PERUANOS S.A.,SANTIAGO DE SURCO,-12.147582,-76.987019,0752
6245310,SUPERMERCADOS PERUANOS S.A.,LA MOLINA,-12.0907,-76.9507,0752
6245311,SUPERMERCADOS PERUANOS S.A.,LINCE,-12.086683,-77.034372,0752
6245312,SUPERMERCADOS PERUANOS S.A.,SANTIAGO DE SURCO,-12.11427302,-76.99104469,0752
6245313,SUPERMERCADOS PERUANOS S.A.,LOS OLIVOS,-11.99384133,-77.07262109,0752
6245314,SUPERMERCADOS PERUANOS S.A.,COMAS,-11.934524,-77.046925,0752
6245315,SUPERMERCADOS PERUANOS S.A.,ATE,-12.080432,-76.986162,0752
6245316,SUPERMERCADOS PERUANOS S.A.,SANTIAGO DE SURCO,-12.129209,-76.983943,0752
6245317,SUPERMERCADOS PERUANOS S.A.,MIRAFLORES,-12.1289057,-77.0248243,0752
6245319,SUPERMERCADOS PERUANOS S.A.,SANTIAGO DE SURCO,-12.14270561,-77.00293068,0752
6245327,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245337,CENCOSUD RETAIL PERU SA,SANTIAGO DE SURCO,-12.14252551,-76.99030862,0752
6245340,SUPERMERCADOS PERUANOS S.A.,JESUS MARIA,-12.089335,-77.051745,0752
6245344,SUPERMERCADOS PERUANOS S.A.,SAN ISIDRO,-12.097301,-77.026081,0752
6245349,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245351,SUPERMERCADOS PERUANOS S.A.,VENTANILLA,-11.872437,-77.126916,0752
6245352,CENCOSUD RETAIL PERU SA,SAN MIGUEL,-12.06298609,-77.0963088,0752
6245353,CENCOSUD RETAIL PERU SA,JESUS MARIA,-12.08681485,-77.05396612,0752
6245362,SUPERMERCADOS PERUANOS S.A.,CHORRILLOS,-12.17197,-76.992196,0752
6245365,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245366,CENCOSUD RETAIL PERU SA,CHACLACAYO,-11.97477,-76.767706,0752
6245369,SUPERMERCADOS PERUANOS S.A.,VILLA EL SALVADOR,-12.23083412,-76.91025967,0752
6245390,CENCOSUD RETAIL PERU SA,ASIA,-12.76171053,-76.60128275,0752
6245391,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245403,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245415,SUPERMERCADOS PERUANOS S.A.,VILLA EL SALVADOR,-12.203227,-76.93201,0752
6245442,SUPERMERCADOS PERUANOS S.A.,ATE,-12.0396155,-76.9325282,0752
6245451,SUPERMERCADOS PERUANOS S.A.,PUEBLO LIBRE,-12.075473,-77.063735,0752
6245452,CENCOSUD RETAIL PERU SA,SAN ISIDRO,-12.09157724,-77.0419562,0752
6245453,CENCOSUD RETAIL PERU SA,MIRAFLORES,-12.10988323,-77.03617581,0752
6245454,CENCOSUD RETAIL PERU SA,MIRAFLORES,-12.12151836,-77.01121052,0752
6245455,CENCOSUD RETAIL PERU SA,MIRAFLORES,-12.126047,-77.017705,0752
6245456,CENCOSUD RETAIL PERU SA,SANTIAGO DE SURCO,-12.11151768,-76.99221853,0752
6245458,CENCOSUD RETAIL PERU SA,SAN BORJA,-12.08973343,-77.00557239,0752
6245459,CENCOSUD RETAIL PERU SA,LA MOLINA,-12.09163284,-76.95081572,0752
